treatment,value,value_log,value_std,value_sqrt,plot_name,plot_type,year,interval,grazer,f_year,f_break,f_new,f_one_yr,f_two_yr,met_sub,subset
Grazed,59,4.077537460854872,0.25681354578605936,7.681145747868608,p16,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,43,3.761200138949376,-0.24621403602643907,6.557438524302,p16,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,9,2.1972246884473243,-1.3151476473779984,3,p16,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,74,4.304065106717683,0.7284019037352767,8.602325267042627,p17,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,83,4.418840619844791,1.011354918504807,9.1104335791443,p17,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,67,4.204692634316339,0.5083273366923086,8.18535277187245,p17,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,57,4.04305128537841,0.19393509805949707,7.54983443527075,p17,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,75,4.317488126869644,0.7598411275985578,8.660254037844387,p17,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,51,3.9318256523321686,0.005299754879810155,7.14142842854285,p17,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,109,4.691347891403455,1.828774738950117,10.44030650891055,p18,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,95,4.553876902126857,1.388625604864181,9.746794344808963,p18,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,68,4.219507719881989,0.5397665605555898,8.246211251235321,p18,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,22,3.09104249881286,-0.9064377371553433,4.69041575982343,p18,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,78,4.356708839510104,0.8541587991884013,8.831760866327848,p18,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,7,1.945910291912446,-1.3780260951045606,2.6457513110645907,p18,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,101,4.615120526742249,1.5772609480438677,10.04987562112089,p19,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,83,4.418840619844791,1.011354918504807,9.1104335791443,p19,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,74,4.304065106717683,0.7284019037352767,8.602325267042627,p19,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,50,3.912023025428146,-0.026139468983470998,7.0710678118654755,p19,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,85,4.442651268255022,1.0742333662313694,9.219544457292887,p19,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,84,4.430816810748075,1.0427941423680882,9.16515138991168,p19,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,109,4.691347891403455,1.828774738950117,10.44030650891055,p20,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,85,4.442651268255022,1.0742333662313694,9.219544457292887,p20,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,69,4.2341065190900125,0.5712057844188709,8.306623862918075,p20,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,35,3.555348090060842,-0.4977278269326883,5.916079783099616,p20,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,88,4.477336825841843,1.1685510378212127,9.38083151964686,p20,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,37,3.610917939671251,-0.434849379206126,6.082762530298219,p20,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,148,4.997212280520872,3.0549044696180823,12.165525060596439,p21,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,119,4.77912350151489,2.1431669775829287,10.908712114635714,p21,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,63,4.143134742264548,0.382570441239184,7.937253933193772,p21,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,52,3.9512437378121965,0.03673897874309131,7.211102550927978,p21,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,70,4.248495256335073,0.6026450082821521,8.366600265340756,p21,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,86,4.454347307881415,1.1056725900946505,9.273618495495704,p21,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,45,3.8066625119925415,-0.18333558829987676,6.708203932499369,p22,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,49,3.8918203185187896,-0.057578692846752155,7,p22,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,20,2.9957323235539897,-0.9693161848819056,4.47213595499958,p22,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,25,3.2188758648682,-0.8121200655654999,5,p22,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,30,3.401197414995488,-0.6549239462490941,5.477225575051661,p22,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,56,4.025351708592292,0.16249587419621592,7.483314773547883,p22,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,66,4.189654757177941,0.47688811282902743,8.12403840463596,p23,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,36,3.5835189662338873,-0.46628860306940717,6,p23,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,49,3.8918203185187896,-0.057578692846752155,7,p23,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,29,3.367295864469232,-0.6863631701123752,5.385164807134504,p23,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,72,4.2766661329049445,0.6655234560087144,8.48528137423857,p23,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,42,3.7376696420928917,-0.2776532598897202,6.48074069840786,p23,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,96,4.564348201884503,1.420064828727462,9.797958971132712,p27,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,135,4.905274785845837,2.6461945593954272,11.61895003862225,p27,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,93,4.532599503905944,1.3257471571376187,9.643650760992955,p27,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,93,4.532599503905944,1.3257471571376187,9.643650760992955,p27,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,76,4.330733353444225,0.791280351461839,8.717797887081348,p28,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,121,4.795790553861204,2.2060454253094908,11,p28,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,18,2.890371813451719,-1.0321946326084679,4.242640687119285,p28,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,73,4.290459454847021,0.6969626798719956,8.54400374531753,p28,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,31,3.4339872367432105,-0.6234847223858129,5.5677643628300215,p28,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,77,4.3438054348406965,0.8227195753251202,8.774964387392123,p28,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,88,4.477336825841843,1.1685510378212127,9.38083151964686,p29,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,129,4.85981241211361,2.4575592162157402,11.357816691600547,p29,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,31,3.4339872367432105,-0.6234847223858129,5.5677643628300215,p29,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,27,3.2958369030413657,-0.7492416178389375,5.196152422706632,p29,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,22,3.09104249881286,-0.9064377371553433,4.69041575982343,p29,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,24,3.1780538720146114,-0.843559289428781,4.898979485566356,p29,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,35,3.555348090060842,-0.4977278269326883,5.916079783099616,p30,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,101,4.615120526742249,1.5772609480438677,10.04987562112089,p30,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,52,3.9512437378121965,0.03673897874309131,7.211102550927978,p30,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,81,4.394449167018117,0.9484764707782447,9,p30,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,42,3.7376696420928917,-0.2776532598897202,6.48074069840786,p30,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,80,4.382026647173881,0.9170372469149636,8.94427190999916,p30,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,104,4.644390908756757,1.6715786196337112,10.198039027185569,p31,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,142,4.955827064643514,2.8662691264383953,11.916375287812984,p31,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,31,3.4339872367432105,-0.6234847223858129,5.5677643628300215,p31,p,2022,Three years,Sheep,y7,b2,n0,o0,t1,abun_non,non
Grazed,70,4.248495256335073,0.6026450082821521,8.366600265340756,p31,p,2022,Three years,Sheep,y7,b2,n0,o0,t1,abun_non,non
Ungrazed,80,4.382026647173881,0.9170372469149636,8.94427190999916,p32,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,75,4.317488126869644,0.7598411275985578,8.660254037844387,p32,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,36,3.5835189662338873,-0.46628860306940717,6,p32,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,29,3.367295864469232,-0.6863631701123752,5.385164807134504,p32,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,37,3.610917939671251,-0.434849379206126,6.082762530298219,p32,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,52,3.9512437378121965,0.03673897874309131,7.211102550927978,p32,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,58,4.060443027787798,0.22537432192277823,7.615773105863909,p33,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,67,4.204692634316339,0.5083273366923086,8.18535277187245,p33,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,32,3.465735934049726,-0.5920454985225317,5.656854249492381,p33,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,54,3.988984065082793,0.09961742646965362,7.3484692283495345,p33,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
