treatment,value,value_log,value_std,value_sqrt,plot_name,plot_type,year,grazer,f_year,f_break,f_new,f_one_yr,f_two_yr,met_sub
Grazed,119,4.779123502,2.143166978,10.90871211,p21,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Ungrazed,63,4.143134742,0.382570441,7.937253933,p21,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Grazed,52,3.951243738,0.036738979,7.211102551,p21,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Ungrazed,70,4.248495256,0.602645008,8.366600265,p21,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,86,4.454347308,1.10567259,9.273618495,p21,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,45,3.806662512,-0.183335588,6.708203932,p22,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Grazed,49,3.891820319,-0.057578693,7,p22,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Ungrazed,20,2.995732324,-0.969316185,4.472135955,p22,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Grazed,25,3.218875865,-0.812120066,5,p22,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Ungrazed,30,3.401197415,-0.654923946,5.477225575,p22,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,56,4.025351709,0.162495874,7.483314774,p22,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,66,4.189654757,0.476888113,8.124038405,p23,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Grazed,36,3.583518966,-0.466288603,6,p23,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Ungrazed,49,3.891820319,-0.057578693,7,p23,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Grazed,29,3.367295864,-0.68636317,5.385164807,p23,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Ungrazed,72,4.276666133,0.665523456,8.485281374,p23,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,42,3.737669642,-0.27765326,6.480740698,p23,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,96,4.564348202,1.420064829,9.797958971,p27,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Grazed,135,4.905274786,2.646194559,11.61895004,p27,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Ungrazed,93,4.532599504,1.325747157,9.643650761,p27,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Grazed,93,4.532599504,1.325747157,9.643650761,p27,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Ungrazed,76,4.330733353,0.791280351,8.717797887,p28,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Grazed,121,4.795790554,2.206045425,11,p28,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Ungrazed,18,2.890371813,-1.032194633,4.242640687,p28,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Grazed,73,4.290459455,0.69696268,8.544003745,p28,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Ungrazed,31,3.433987237,-0.623484722,5.567764363,p28,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,77,4.343805435,0.822719575,8.774964387,p28,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,88,4.477336826,1.168551038,9.38083152,p29,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Grazed,129,4.859812412,2.457559216,11.35781669,p29,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Ungrazed,31,3.433987237,-0.623484722,5.567764363,p29,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Grazed,27,3.295836903,-0.749241618,5.196152423,p29,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Ungrazed,22,3.091042499,-0.906437737,4.69041576,p29,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,24,3.178053872,-0.843559289,4.898979486,p29,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,35,3.55534809,-0.497727827,5.916079783,p30,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Grazed,101,4.615120527,1.577260948,10.04987562,p30,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Ungrazed,52,3.951243738,0.036738979,7.211102551,p30,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Grazed,81,4.394449167,0.948476471,9,p30,p,2021,Sheep,y6,b2,n0,o0,t1,abun_non
Ungrazed,42,3.737669642,-0.27765326,6.480740698,p30,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,80,4.382026647,0.917037247,8.94427191,p30,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,104,4.644390909,1.67157862,10.19803903,p31,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Grazed,142,4.955827065,2.866269126,11.91637529,p31,p,2019,Goat,y4,b0,n1,o0,t0,abun_non
Ungrazed,31,3.433987237,-0.623484722,5.567764363,p31,p,2022,Sheep,y7,b2,n0,o0,t1,abun_non
Grazed,70,4.248495256,0.602645008,8.366600265,p31,p,2022,Sheep,y7,b2,n0,o0,t1,abun_non
Ungrazed,80,4.382026647,0.917037247,8.94427191,p32,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,75,4.317488127,0.759841128,8.660254038,p32,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,36,3.583518966,-0.466288603,6,p32,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Grazed,29,3.367295864,-0.68636317,5.385164807,p32,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,37,3.61091794,-0.434849379,6.08276253,p32,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,52,3.951243738,0.036738979,7.211102551,p32,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,58,4.060443028,0.225374322,7.615773106,p33,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,67,4.204692634,0.508327337,8.185352772,p33,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,32,3.465735934,-0.592045499,5.656854249,p33,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Grazed,54,3.988984065,0.099617426,7.348469228,p33,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,19,2.944439032,-1.000755409,4.358898944,p33,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,46,3.828641418,-0.151896364,6.782329983,p33,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,84,4.430816811,1.042794142,9.16515139,p34,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,85,4.442651268,1.074233366,9.219544457,p34,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,24,3.178053872,-0.843559289,4.898979486,p34,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Grazed,60,4.094344579,0.28825277,7.745966692,p34,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,57,4.043051285,0.193935098,7.549834435,p34,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,72,4.276666133,0.665523456,8.485281374,p34,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,66,4.189654757,0.476888113,8.124038405,p35,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,55,4.007333203,0.13105665,7.416198487,p35,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,29,3.367295864,-0.68636317,5.385164807,p35,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Grazed,9,2.197224688,-1.315147647,3,p35,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,27,3.295836903,-0.749241618,5.196152423,p35,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,77,4.343805435,0.822719575,8.774964387,p35,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,97,4.574710989,1.451504053,9.848857802,p36,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,70,4.248495256,0.602645008,8.366600265,p36,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,12,2.484906733,-1.220829976,3.464101615,p36,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Grazed,23,3.135494259,-0.874998513,4.795831523,p36,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,10,2.302585193,-1.283708424,3.16227766,p36,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,4,1.386294611,-1.472343767,2,p36,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,61,4.110873881,0.319691994,7.810249676,p37,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,65,4.174387285,0.445448889,8.062257748,p37,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,23,3.135494259,-0.874998513,4.795831523,p37,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Grazed,14,2.639057401,-1.157951528,3.741657387,p37,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,22,3.091042499,-0.906437737,4.69041576,p37,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,25,3.218875865,-0.812120066,5,p37,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,31,3.433987237,-0.623484722,5.567764363,p38,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,59,4.077537461,0.256813546,7.681145748,p38,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,44,3.784189657,-0.214774812,6.633249581,p38,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Grazed,46,3.828641418,-0.151896364,6.782329983,p38,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,31,3.433987237,-0.623484722,5.567764363,p38,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,40,3.688879479,-0.340531708,6.32455532,p38,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,15,2.708050268,-1.126512304,3.872983346,p39,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,13,2.564949434,-1.189390752,3.605551275,p39,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,11,2.397895364,-1.2522692,3.31662479,p39,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Grazed,14,2.639057401,-1.157951528,3.741657387,p39,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
Ungrazed,11,2.397895364,-1.2522692,3.31662479,p39,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Grazed,26,3.258096576,-0.780680842,5.099019514,p39,p,2022,Sheep,y7,b1,n0,o1,t0,abun_non
Ungrazed,27,3.295836903,-0.749241618,5.196152423,p40,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Grazed,12,2.484906733,-1.220829976,3.464101615,p40,p,2020,Sheep,y5,b0,n1,o0,t0,abun_non
Ungrazed,20,2.995732324,-0.969316185,4.472135955,p40,p,2021,Sheep,y6,b1,n0,o1,t0,abun_non
