orig_name,taxonomic_name,genus_species,f_native,f_forb,include_plant,has_mult_taxa,is_native,is_forb
Melica californica (grass),Melica torreyana,Melica torreyana,n1,f0,TRUE,FALSE,TRUE,FALSE
Melica torreyana,Melica torreyana,Melica torreyana,n1,f0,TRUE,FALSE,TRUE,FALSE
Melica torreyana  (grass),Melica torreyana,Melica torreyana,n1,f0,TRUE,FALSE,TRUE,FALSE
Melica torreyana (2020),Melica torreyana,Melica torreyana,n1,f0,TRUE,FALSE,TRUE,FALSE
Melica torreyana (2020) (grass),Melica torreyana,Melica torreyana,n1,f0,TRUE,FALSE,TRUE,FALSE
Melica torreyana (grass),Melica torreyana,Melica torreyana,n1,f0,TRUE,FALSE,TRUE,FALSE
Melilotus sp.,Melilotus spp.,Melilotus spp.,n0,f1,FALSE,FALSE,FALSE,TRUE
Melilotus sp. ,Melilotus spp.,Melilotus spp.,n0,f1,FALSE,FALSE,FALSE,TRUE
Mentha pulegium,Mentha pulegium,Mentha pulegium,n0,f1,TRUE,FALSE,FALSE,TRUE
Microcala quadrangularis,Microcala quadrangularis,Microcala quadrangularis,n1,f1,TRUE,FALSE,TRUE,TRUE
Micropus californicus californicus,Micropus californicus var. californicus,Micropus californicus,n1,f1,TRUE,TRUE,TRUE,TRUE
Micropus californicus var. cal.,Micropus californicus var. californicus,Micropus californicus,n1,f1,TRUE,TRUE,TRUE,TRUE
Micropus californicus var. californicus,Micropus californicus var. californicus,Micropus californicus,n1,f1,TRUE,TRUE,TRUE,TRUE
Micropus californicus var. californius,Micropus californicus var. californicus,Micropus californicus,n1,f1,TRUE,TRUE,TRUE,TRUE
Microseris douglasii,Microseris douglasii,Microseris douglasii,n1,f1,TRUE,FALSE,TRUE,TRUE
Microseris douglasii ssp.,Microseris douglasii,Microseris douglasii,n1,f1,TRUE,FALSE,TRUE,TRUE
Microsteris gracilis,Microsteris gracilis,Microsteris gracilis,n1,f1,TRUE,FALSE,TRUE,TRUE
Montia fontana,Montia fontana,Montia fontana,n1,f1,TRUE,FALSE,TRUE,TRUE
Navarretia pubescens,Navarretia pubescens,Navarretia pubescens,n1,f1,TRUE,FALSE,TRUE,TRUE
Navarretia tagetina,Navarretia tagetina,Navarretia tagetina,n1,f1,TRUE,FALSE,TRUE,TRUE
Nemophila heterophylla,Nemophila heterophylla,Nemophila heterophylla,n1,f1,TRUE,FALSE,TRUE,TRUE
Nemophila heterophylla (2021),Nemophila heterophylla,Nemophila heterophylla,n1,f1,TRUE,FALSE,TRUE,TRUE
Nemophila menziesii,Nemophila menziesii,Nemophila menziesii,n1,f1,TRUE,TRUE,TRUE,TRUE
Nemophila menziesii menziesii (2021),Nemophila menziesii var. menziesii,Nemophila menziesii,n1,f1,TRUE,TRUE,TRUE,TRUE
Nemophila menziesii var. menziesii,Nemophila menziesii var. menziesii,Nemophila menziesii,n1,f1,TRUE,TRUE,TRUE,TRUE
Nemophila pedunculata,Nemophila pedunculata,Nemophila pedunculata,n1,f1,TRUE,FALSE,TRUE,TRUE
Parentucellia viscosa,Parentucellia viscosa,Parentucellia viscosa,n0,f1,TRUE,FALSE,FALSE,TRUE
Pectocarya pusilla,Pectocarya pusilla,Pectocarya pusilla,n1,f1,TRUE,FALSE,TRUE,TRUE
Pectocarya pusilla  (2020),Pectocarya pusilla,Pectocarya pusilla,n1,f1,TRUE,FALSE,TRUE,TRUE
Pectocarya pusilla (2021),Pectocarya pusilla,Pectocarya pusilla,n1,f1,TRUE,FALSE,TRUE,TRUE
Pentagramma triangularis,Pentagramma triangularis,Pentagramma triangularis,n1,f1,TRUE,FALSE,TRUE,TRUE
Pentagramma triangularis ssp. triangularis,Pentagramma triangularis ssp. triangularis,Pentagramma triangularis,n1,f1,TRUE,FALSE,TRUE,TRUE
Petrorhagia dubia,Petrorhagia dubia,Petrorhagia dubia,n0,f1,TRUE,FALSE,FALSE,TRUE
Phacelia distans,Phacelia distans,Phacelia distans,n1,f1,TRUE,FALSE,TRUE,TRUE
Phalaris aquatica,Phalaris aquatica,Phalaris aquatica,n0,f1,TRUE,FALSE,FALSE,TRUE
Plagiobothrys bracteatus,Plagiobothrys bracteatus,Plagiobothrys bracteatus,n1,f1,TRUE,FALSE,TRUE,TRUE
Plagiobothrys nothofulvus,Plagiobothrys nothofulvus,Plagiobothrys nothofulvus,n1,f1,TRUE,FALSE,TRUE,TRUE
Plantago erecta,Plantago erecta,Plantago erecta,n1,f1,TRUE,FALSE,TRUE,TRUE
Plantago erecta (2020),Plantago erecta,Plantago erecta,n1,f1,TRUE,FALSE,TRUE,TRUE
Plectritis ciliosa,Plectritis ciliosa,Plectritis ciliosa,n1,f1,TRUE,FALSE,TRUE,TRUE
Plectritis macrocera,Plectritis macrocera,Plectritis macrocera,n1,f1,TRUE,FALSE,TRUE,TRUE
Pleuropogon californicus,Pleuropogon californicus,Pleuropogon californicus,n1,f0,TRUE,FALSE,TRUE,FALSE
Pleuropogon californicus (grass),Pleuropogon californicus,Pleuropogon californicus,n1,f0,TRUE,FALSE,TRUE,FALSE
Poa secunda ssp. secunda,Poa secunda ssp. secunda,Poa secunda,n1,f0,TRUE,TRUE,TRUE,FALSE
Poa secunda ssp. secunda (grass),Poa secunda ssp. secunda,Poa secunda,n1,f0,TRUE,TRUE,TRUE,FALSE
Polypodium cailrhiza,Polypodium cailrhiza,Polypodium cailrhiza,n1,f1,TRUE,FALSE,TRUE,TRUE
Primula hendersonii,Primula hendersonii,Primula hendersonii,n1,f1,TRUE,FALSE,TRUE,TRUE
Psilocarphus tenellus,Psilocarphus tenellus,Psilocarphus tenellus,n1,f1,TRUE,FALSE,TRUE,TRUE
Quercus agrifolia var. agr.,Quercus agrifolia var. agrifolia,Quercus agrifolia,n1,f0,TRUE,TRUE,TRUE,FALSE
Quercus agrifolia var. agrifolia,Quercus agrifolia var. agrifolia,Quercus agrifolia,n1,f0,TRUE,TRUE,TRUE,FALSE
Quercus douglasii,Quercus douglasii,Quercus douglasii,n1,f0,TRUE,FALSE,TRUE,FALSE
Quercus kelloggii (2021),Quercus kelloggii,Quercus kelloggii,n1,f0,TRUE,FALSE,TRUE,FALSE
Quercus lobata,Quercus lobata,Quercus lobata,n1,f0,TRUE,FALSE,TRUE,FALSE
Quercus lobata (2020),Quercus lobata,Quercus lobata,n1,f0,TRUE,FALSE,TRUE,FALSE
Ranunculus arvensis,Ranunculus arvensis,Ranunculus arvensis,n0,f1,TRUE,FALSE,FALSE,TRUE
Ranunculus californicus,Ranunculus californicus,Ranunculus californicus,n1,f1,TRUE,FALSE,TRUE,TRUE
Ranunculus hebecarpus,Ranunculus hebecarpus,Ranunculus hebecarpus,n1,f1,TRUE,FALSE,TRUE,TRUE
Ranunculus muricatus,Ranunculus muricatus,Ranunculus muricatus,n0,f1,TRUE,FALSE,FALSE,TRUE
Ranunculus occidentalis,Ranunculus occidentalis,Ranunculus occidentalis,n1,f1,TRUE,FALSE,TRUE,TRUE
Raphanus sativus,Raphanus sativus,Raphanus sativus,n0,f1,TRUE,FALSE,FALSE,TRUE
Rumex crispus,Rumex crispus,Rumex crispus,n0,f1,TRUE,FALSE,FALSE,TRUE
Sanicula bipinnata,Sanicula bipinnata,Sanicula bipinnata,n1,f1,TRUE,FALSE,TRUE,TRUE
Sanicula bipinnatifida,Sanicula bipinnatifida,Sanicula bipinnatifida,n1,f1,TRUE,FALSE,TRUE,TRUE
Sanicula crassicaulis,Sanicula crassicaulis,Sanicula crassicaulis,n1,f1,TRUE,FALSE,TRUE,TRUE
Scandix pectin-veneris,Scandix pecten-veneris,Scandix pecten-veneris,n0,f1,TRUE,FALSE,FALSE,TRUE
Scandix pectinveneris,Scandix pecten-veneris,Scandix pecten-veneris,n0,f1,TRUE,FALSE,FALSE,TRUE
Senecio vulgaris,Senecio vulgaris,Senecio vulgaris,n0,f1,TRUE,FALSE,FALSE,TRUE
Senecio vulgaris (2020),Senecio vulgaris,Senecio vulgaris,n0,f1,TRUE,FALSE,FALSE,TRUE
Sidalcea diploscypha,Sidalcea diploscypha,Sidalcea diploscypha,n1,f1,TRUE,FALSE,TRUE,TRUE
Sidalcea hartwegii,Sidalcea hartwegii,Sidalcea hartwegii,n1,f1,TRUE,FALSE,TRUE,TRUE
Silene gallica,Silene gallica,Silene gallica,n0,f1,TRUE,FALSE,FALSE,TRUE
Sisymbrium officinale,Sisymbrium officinale,Sisymbrium officinale,n0,f1,TRUE,FALSE,FALSE,TRUE
Sisyrinchium bellum,Sisyrinchium bellum,Sisyrinchium bellum,n1,f1,TRUE,FALSE,TRUE,TRUE
Sisyrinchium bellum (2020),Sisyrinchium bellum,Sisyrinchium bellum,n1,f1,TRUE,FALSE,TRUE,TRUE
Sonchus oleraceus,Sonchus oleraceus,Sonchus oleraceus,n0,f1,TRUE,FALSE,FALSE,TRUE
Sonchus oleraceus (2020),Sonchus oleraceus,Sonchus oleraceus,n0,f1,TRUE,FALSE,FALSE,TRUE
Stachys rigida ssp. quecetorum,Stachys rigida ssp. quercetorum,Stachys rigida,n1,f1,TRUE,TRUE,TRUE,TRUE
Stachys rigida ssp. quercetorum,Stachys rigida ssp. quercetorum,Stachys rigida,n1,f1,TRUE,TRUE,TRUE,TRUE
Stellaria media,Stellaria media,Stellaria media,n0,f1,TRUE,FALSE,FALSE,TRUE
Stipa lepida,Stipa lepida,Stipa lepida,n1,f0,TRUE,FALSE,TRUE,FALSE
Stipa pulchra,Stipa pulchra,Stipa pulchra,n1,f0,TRUE,FALSE,TRUE,FALSE
Stipa pulchra (2020),Stipa pulchra,Stipa pulchra,n1,f0,TRUE,FALSE,TRUE,FALSE
Stipa pulchra (grass),Stipa pulchra,Stipa pulchra,n1,f0,TRUE,FALSE,TRUE,FALSE
Thysanocarpus curvipes,Thysanocarpus curvipes,Thysanocarpus curvipes,n1,f1,TRUE,FALSE,TRUE,TRUE
Thysanocarpus radians,Thysanocarpus radians,Thysanocarpus radians,n1,f1,TRUE,FALSE,TRUE,TRUE
Tonella tenella,Tonella tenella,Tonella tenella,n1,f1,TRUE,FALSE,TRUE,TRUE
Torilis arvensis,Torilis arvensis,Torilis arvensis,n0,f1,TRUE,FALSE,FALSE,TRUE
Torilis nodosa,Torilis nodosa,Torilis nodosa,n0,f1,TRUE,FALSE,FALSE,TRUE
Torilis nodosa.,Torilis nodosa,Torilis nodosa,n0,f1,TRUE,FALSE,FALSE,TRUE
Torilis sp.,Torilis spp.,Torilis spp.,n0,f1,FALSE,FALSE,FALSE,TRUE
Toxicodendron diversilobum,Toxicodendron diversilobum,Toxicodendron diversilobum,n1,f0,TRUE,FALSE,TRUE,FALSE
Tragopogon sp. ?,Tragopogon spp.,Tragopogon spp.,n0,f1,FALSE,FALSE,FALSE,TRUE
