orig_plot,plot_type,plot_name,f_grazed,month,treatment
447G_5,w,447,g1,5,Grazed
448_G_4,w,448,g1,4,Grazed
448_G_5,w,448,g1,5,Grazed
448G_4,w,448,g1,4,Grazed
448G_5,w,448,g1,5,Grazed
449G_4,w,449,g1,4,Grazed
449G_5,w,449,g1,5,Grazed
453G_4,w,453,g1,4,Grazed
453G_5,w,453,g1,5,Grazed
455_G_4,w,455,g1,4,Grazed
455_G_5,w,455,g1,5,Grazed
455G_4,w,455,g1,4,Grazed
455G_5,w,455,g1,5,Grazed
456G_4,w,456,g1,4,Grazed
456G_5,w,456,g1,5,Grazed
457G_4,w,457,g1,4,Grazed
457G_5,w,457,g1,5,Grazed
458_G_4,w,458,g1,4,Grazed
458_G_5,w,458,g1,5,Grazed
458G_4,w,458,g1,4,Grazed
458G_5,w,458,g1,5,Grazed
459_G_4,w,459,g1,4,Grazed
459_G_5,w,459,g1,5,Grazed
459G_4,w,459,g1,4,Grazed
459G_5,w,459,g1,5,Grazed
460_G_4,w,460,g1,4,Grazed
460_G_5,w,460,g1,5,Grazed
460G_4,w,460,g1,4,Grazed
460G_5,w,460,g1,5,Grazed
461_G_4,w,461,g1,4,Grazed
461_G_5,w,461,g1,5,Grazed
461G_4,w,461,g1,4,Grazed
461G_5,w,461,g1,5,Grazed
462G_4,w,462,g1,4,Grazed
463G_4,w,463,g1,4,Grazed
464_G_4,w,464,g1,4,Grazed
464_G_5,w,464,g1,5,Grazed
464G_4,w,464,g1,4,Grazed
464G_5,w,464,g1,5,Grazed
465G_4,w,465,g1,4,Grazed
465G_5,w,465,g1,5,Grazed
466G_4,w,466,g1,4,Grazed
467G_4,w,467,g1,4,Grazed
468G_4,w,468,g1,4,Grazed
469_G_4,w,469,g1,4,Grazed
469_G_5,w,469,g1,5,Grazed
469G_4,w,469,g1,4,Grazed
469G_5,w,469,g1,5,Grazed
470G_4,w,470,g1,4,Grazed
470G_5,w,470,g1,5,Grazed
471G_4,w,471,g1,4,Grazed
472G_4,w,472,g1,4,Grazed
473G_4,w,473,g1,4,Grazed
474G_4,w,474,g1,4,Grazed
PER P1_G_4,p,p01,g1,4,Grazed
PER P1_G_5,p,p01,g1,5,Grazed
PER P2_G_4,p,p02,g1,4,Grazed
PER P2_G_5,p,p02,g1,5,Grazed
PER P3_G_4,p,p03,g1,4,Grazed
PER P3_G_5,p,p03,g1,5,Grazed
PER P4_G_4,p,p04,g1,4,Grazed
PER P4_G_5,p,p04,g1,5,Grazed
PER P5_G_4,p,p05,g1,4,Grazed
PER P5_G_5,p,p05,g1,5,Grazed
PER P6_G_4,p,p06,g1,4,Grazed
PER P6_G_5,p,p06,g1,5,Grazed
PER P7_G_4,p,p07,g1,4,Grazed
PER P7_G_5,p,p07,g1,5,Grazed
PER P8_G_4,p,p08,g1,4,Grazed
PER P8_G_5,p,p08,g1,5,Grazed
PER P9_G_4,p,p09,g1,4,Grazed
PER P9_G_5,p,p09,g1,5,Grazed
PER P10_G_4,p,p10,g1,4,Grazed
PER P10_G_5,p,p10,g1,5,Grazed
PER P11_G_4,p,p11,g1,4,Grazed
PER P11_G_5,p,p11,g1,5,Grazed
PER P12_G_4,p,p12,g1,4,Grazed
PER P12_G_5,p,p12,g1,5,Grazed
PER P13_G_4,p,p13,g1,4,Grazed
PER P13_G_5,p,p13,g1,5,Grazed
PER P14_G_4,p,p14,g1,4,Grazed
